Yield,Flow,Adjustment,Duration,Distance,Width, Area,Elevation,Date,GrowerName,FieldName,CropName
166.02,18.15,12.59,1,158.7452,1097.2,0,2518.5187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
177.1,19.24,12.56,1,157.7452,1097.2,0,2519.1187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
162.21,17.51,12.6,1,156.7452,1097.2,0,2518.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
164.68,17.89,12.53,1,157.7452,1097.2,0,2519.5187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
178.42,19.26,12.51,1,156.7452,1097.2,0,2517.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
187.14,20.33,12.41,1,157.7452,1097.2,0,2514.1187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
188.44,21.12,12.4,1,162.7452,1097.2,0,2516.6187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
171.01,19.52,12.39,1,165.7452,1097.2,0,2516.5187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
165.6,18.56,12.36,1,162.7452,1097.2,0,2514.4187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
172.81,19.25,12.49,1,161.7452,1097.2,0,2514.5187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
180.5,20.23,12.5,1,162.7452,1097.2,0,2514.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
190.58,21.36,12.51,1,162.7452,1097.2,0,2512.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
180.58,20.24,12.5,1,162.7452,1097.2,0,2512.6187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
177.44,20.01,12.56,1,163.7452,1097.2,0,2513.5187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
177.53,20.02,12.51,1,163.7452,1097.2,0,2513.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
179.34,20.1,12.43,1,162.7452,1097.2,0,2513.7187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
180.72,20.38,12.39,1,163.7452,1097.2,0,2510.5187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
170.93,19.04,12.48,1,161.7452,1097.2,0,2510.3188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
180.01,20.3,12.53,1,163.7452,1097.2,0,2509.1187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
175.93,19.84,12.6,1,163.7452,1097.2,0,2508.7187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
201.36,22.43,12.67,1,161.7452,1097.2,0,2512.6187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
186.95,21.34,12.77,1,165.7452,1097.2,0,2508.6187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
188.7,20.89,12.8,1,160.7452,1097.2,0,2507.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
197.39,22.26,12.79,1,163.7452,1097.2,0,2507.1187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
184.42,20.67,12.76,1,162.7452,1097.2,0,2508.2187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
204.14,22.88,12.74,1,162.7452,1097.2,0,2507.0187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
202.53,22.7,12.75,1,162.7452,1097.2,0,2504.6187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
210.21,23.56,12.78,1,162.7452,1097.2,0,2506.2187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
211.32,23.83,12.84,1,163.7452,1097.2,0,2506.0187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
219.05,24.4,12.84,1,161.7452,1097.2,0,2506.4187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
217.52,24.38,12.93,1,162.7452,1097.2,0,2505.6187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
217.88,24.57,13.06,1,163.7452,1097.2,0,2505.0187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
214.97,24.39,13.13,1,164.7452,1097.2,0,2503.6187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
203.25,22.5,13.23,1,160.7452,1097.2,0,2503.3187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
207.68,23.42,13.23,1,163.7452,1097.2,0,2500.0187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
210.34,23.43,13.25,1,161.7452,1097.2,0,2502.7187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
205.1,23.27,13.25,1,164.7452,1097.2,0,2501.5187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
223.3,24.72,13.27,1,160.7452,1097.2,0,2502.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
207.83,23.58,13.34,1,164.7452,1097.2,0,2500.6187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
214.67,24.06,13.33,1,162.7452,1097.2,0,2502.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
222.73,25.27,13.23,1,164.7452,1097.2,0,2498.8187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
220.88,24.3,13.27,1,159.7452,1097.2,0,2500.1187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
204.32,22.9,13.36,1,162.7452,1097.2,0,2501.1187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
211.72,23.73,13.31,1,162.7452,1097.2,0,2498.2188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
218.15,24.3,13.41,1,161.7452,1097.2,0,2499.2188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
216.64,24.58,13.5,1,164.7452,1097.2,0,2499.2188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
216.43,23.81,13.65,1,159.7452,1097.2,0,2499.2188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
199.72,22.66,13.7,1,164.7452,1097.2,0,2497.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
209.08,23.29,13.72,1,161.7452,1097.2,0,2493.7187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
206.1,23.1,13.77,1,162.7452,1097.2,0,2495.6187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
209.58,23.49,13.73,1,162.7452,1097.2,0,2500.5187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
210.61,24.04,13.77,1,165.7452,1097.2,0,2496.0187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
214.99,23.8,13.76,1,160.7452,1097.2,0,2495.1187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
209.45,23.62,13.74,1,163.7452,1097.2,0,2497.9187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
220.56,24.72,13.7,1,162.7452,1097.2,0,2497.0187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
217.7,24.4,13.55,1,162.7452,1097.2,0,2495.2187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
221.98,24.88,13.55,1,162.7452,1097.2,0,2494.1187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
224.16,24.97,13.66,1,161.7452,1097.2,0,2496.3187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
224.57,25.17,13.8,1,162.7452,1097.2,0,2495.8187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
215.38,24.14,13.84,1,162.7452,1097.2,0,2493.7187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
224.16,24.97,13.95,1,161.7452,1097.2,0,2493.5187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
221.09,24.78,14,1,162.7452,1097.2,0,2496.1187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
217.61,24.54,13.93,1,163.7452,1097.2,0,2493.6187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
223.03,24.69,14.01,1,160.7452,1097.2,0,2493.1187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
224.84,25.2,14,1,162.7452,1097.2,0,2492.0187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
221.07,24.93,13.95,1,163.7452,1097.2,0,2492.6187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
221.11,24.63,13.96,1,161.7452,1097.2,0,2491.4187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
228.11,25.41,13.91,1,161.7452,1097.2,0,2489.5187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
221.51,24.98,13.96,1,163.7452,1097.2,0,2489.1187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
223.05,25,13.99,1,162.7452,1097.2,0,2488.8187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
233.4,26.16,14.13,1,162.7452,1097.2,0,2489.6187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
223.5,25.05,14.34,1,162.7452,1097.2,0,2488.8187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
225.47,24.96,14.37,1,160.7452,1097.2,0,2489.2187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
223.05,25,14.42,1,162.7452,1097.2,0,2490.0187,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
